Sector,Subsector,Weight,Indicator,Selected years,Indicator weight,"Economical Growth &
Development Index Weights"
Economy,International trade and investment,,Current account balance billion USD,2005 - 2020,0.8,0.6
Economy,International trade and investment,,Exports of goods and services as percent of GDP,2005 - 2020,0.9,0.8
Economy,International trade and investment,,Foreign Direct Investment billion USD,1972 - 2020,1,0.7
Economy,International trade and investment,,Foreign Direct Investment percent of GDP,1984 - 2020,0.9,0.7
Economy,International trade and investment,,Foreign exchange reserves including gold billion USD,1993 - 2020,0.9,0.6
Economy,International trade and investment,,Imports of goods and services as percent of GDP,1995 - 2020,0.9,0.8
Economy,International trade and investment,,Imports of goods and services billion USD,1995 - 2020,0.8,0.7
Economy,International trade and investment,,Remittances as percent of GDP,2005 - 2020,0.7,0.6
Economy,International trade and investment,,Terms of trade base year = 2000,2000 - 2020,0.6,0.5
Economy,International trade and investment,,Trade balance as percent of GDP,1995 - 2020,0.8,0.6
Economy,International trade and investment,,Trade balance billion USD,2005 - 2020,0.7,0.6
Economy,International trade and investment,,Trade openness: exports plus imports as percent of GDP,1995 - 2020,0.9,0.8
Economy,Money,0.6,Inflation: percent change in the Consumer Price Index,1960 - 2021,,0.8
Economy,Shares of world totals,0.5,Percent of world Foreign Direct Investment,1993-2020,0.8,0.8
Economy,Shares of world totals,,Percent of world GDP,1990-2020,1,1
Economy,Shares of world totals,,Percent of world exports,1995-2020,0.9,0.8
Economy,Shares of world totals,,Percent of world imports,1995-2020,0.9,0.8
Economy,Shares of world totals,,Percent of world oil reserves,1994-2020,0.7,0.4
Economy,Shares of world totals,,Percent of world population,1960-2020,1,0.6
Economy,"Stock market, insurance, pensions",0.3,Life insurance premium volume percent of GDP,1995-2019,0.8,0.2
Economy,"Stock market, insurance, pensions",,Non-life insurance premium volume percent of GDP,1992-2018,0.7,0.2
Economy,Tourism,0.5,International tourism revenue,2000-2018,0.9,0.6
Economy,Tourism,,International tourism revenue percent of GDP,2000-2018,0.8,0.4
Economy,Tourism,,Percent of world tourist arrivals,1995-2019,0.7,0.4
Economy,Tourism,,Tourist arrivals,1995-2019,0.6,0.4
Index,Index,,Human Development Index (0 - 1),2000-2020,,1
Government,Governance and business environment,0.8,Civil liberties index 7 (weak) - 1 (strong) ,1991-2020,0.8,0.9
Government,Governance and business environment,,Corruption Perceptions Index 100 = no corruption,2001-2021,0.9,0.9
Government,Governance and business environment,,Cost of starting a business % of income per capita,2003-2019,0.7,0.6
Government,Governance and business environment,,Political rights index 7 (weak) - 1 (strong),1972-2020,0.8,0.9
Government,Governance and business environment,,Political stability index (-2.5 weak; 2.5 strong),2002-2021,0.9,0.8
Government,Governance and business environment,,Shadow economy percent of GDP,1991-2015,0.6,0.5
Health,Health spending and outcome,0.7,Cases of Tuberculosis per 100000 people,2000-2020,0.7,0.3
Health,Health spending and outcome,,Death rate per 1000 people,1960-2020,0.8,0.3
Health,Health spending and outcome,,Fertility rate births per woman,1960-2020,0.6,0.2
Health,Health spending and outcome,,Health spending as percent of GDP,2000-2019,0.9,0.7
Health,Health spending and outcome,,Health spending per capita,2000-2019,0.7,0.6
Health,Health spending and outcome,,Life expectancy in years,1960-2020,1,0.8
Health,Health spending and outcome,,Percent of children ages 12-23 months with measles immunization,1992-2020,0.8,0.4
Health,Health spending and outcome,,Percent of one-year-old children with Hepatitis B immunization,2008-2020,0.8,0.4
Health,Health spending and outcome,,Suicide mortality rate per 100000 population,2000-2019,0.7,0.3
Health,Healthcare resources,0.5,Hospital beds,2000-2020,0.8,0.6
Health,Healthcare resources,,Hospital beds per 1000 people,2002-2021,0.9,0.6
Social,Inequality and poverty,0.7,Gini income inequality index,1991-2020,0.9,0.7
Social,Inequality and poverty,,Percent income earned by the top 10 percent of earners,1991-2020,0.8,0.6
Social,Inequality and poverty,,Poverty percent of population,1989-2020,0.9,0.8
Social,Inequality and poverty,,Poverty ratio percent living on less than 1.90 USD a day,1991-2020,1,0.9
Social,Labor Market,0.8,Female labor force participation rate,1990 - 2021,0.8,0.8
Social,Labor Market,,Labor force million people,1990 - 2021,0.7,0.7
Social,Labor Market,,Labor force participation rate,1990 - 2021,0.9,0.7
Social,Labor Market,,Labor force percent female,1990 - 2021,0.8,0.8
Social,Labor Market,,Male labor force participation rate,1990 - 2021,0.7,0.7
Social,Labor Market,,Unemployment rate,1990 - 2021,0.9,0.8
Social,Labor Market,,Unemployment rate for females,1991 - 2021,0.8,0.8
Social,Labor Market,,Unemployment rate for males,1991 - 2021,0.7,0.8
Social,Labor Market,,Youth unemployment ages 15-24,1991 - 2021,0.9,0.8
Transportation,Infrastructure and transport characteristics,0.7,Broadband internet subscribers in thousands,2009-2020,0.9,0.8
Transportation,Infrastructure and transport characteristics,,Fixed broadband internet subscribers per 100 people,1998-2020,0.8,0.8
Transportation,Infrastructure and transport characteristics,,International Internet bandwidth per Internet user kb/s,1996-2020,0.7,0.7
Transportation,Infrastructure and transport characteristics,,Mobile network coverage percent of the population,2012-2016,0.9,0.7
Transportation,Infrastructure and transport characteristics,,Mobile phone subscribers in millions,1975-2020,0.8,0.7
Transportation,Infrastructure and transport characteristics,,Mobile phone subscribers per 100 people,1975-2020,0.8,0.7
Transportation,Infrastructure and transport characteristics,,New commercial vehicle sales numbers per year,2005-2020,0.6,0.3
Transportation,Infrastructure and transport characteristics,,New passenger car sales numbers per year,2005-2020,0.6,0.3
Transportation,Infrastructure and transport characteristics,,Number of 20-foot containers passing through the ports,2000-2020,0.7,0.5
Transportation,Infrastructure and transport characteristics,,Balance of payments net errors and omissions,2005-2021,0.5,0.4
Technology & Innovation,Innovation Measures,0.6,High tech exports percent of manufactured exports,2010 - 2020,0.8,0.6
Technology & Innovation,Innovation Measures,,High technology exports,2010 - 2020,0.7,0.5
Technology & Innovation,Innovation Measures,,Information technology exports percent of total goods exports,2000-2019,0.6,0.6
Other,Other,,Gold production in kilograms,(2001 - 2019) 2013-2017 (0.2 - 0.22),,0.1
Other,Other,,Land area in sq. km,1961-2020,,0.2
Other,Other,,Women in parliament percent,2003-2021,,0.6
